Unnamed: 0,RowNumber,CustomerId,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
64773,65,15922559,620,Male,32,2,58493.59509393483,1,0,0,177459.9,0
69444,66,15922560,689,Female,40,8,66784.07014889446,4,0,0,4303.0,0
56818,67,15922561,357,Female,59,9,15365.7866466543,3,0,1,186677.4,1
93830,68,15922562,641,Male,28,8,118815.31159970071,4,0,0,118689.44,0
93513,69,15922563,543,Male,21,3,92839.99797152996,2,0,0,199500.67,0
28646,70,15922564,813,Male,61,6,130593.20858036856,1,0,0,57605.43,0
64733,71,15922565,514,Female,33,4,113891.85742493578,4,0,1,98404.1,0
66707,72,15922566,473,Female,41,1,56352.78801408779,3,1,1,137080.51,0
32312,73,15922567,689,Female,37,2,84768.20817337232,1,1,1,119176.86,0
36834,74,15922568,778,Female,34,1,163917.7248104572,2,1,0,124605.7,0
53857,75,15922569,348,Female,34,8,107267.9908906091,2,0,0,173047.22,1
76757,76,15922570,359,Male,32,8,0.0,1,1,1,33304.16,0
36325,77,15922571,393,Male,64,7,0.0,4,0,0,143766.91,0
74994,78,15922572,488,Female,44,10,51953.19144693348,4,1,1,89598.09,0
68838,79,15922573,582,Female,55,4,165309.29866921096,2,1,1,182612.09,0
29684,80,15922574,613,Male,45,1,82487.9274096864,3,0,1,189707.83,0
44904,81,15922575,522,Female,74,5,96241.82050211797,2,0,0,89394.33,0
84688,82,15922576,786,Female,55,6,172145.9151805557,2,1,0,72199.96,0
85839,83,15922577,666,Male,62,4,73576.64793771088,2,0,0,180216.67,1
69188,84,15922578,391,Female,79,7,119495.40635581306,3,0,0,188310.33,1
10424,85,15922579,483,Male,36,6,100515.53612917394,1,0,0,154831.33,1
71451,86,15922580,409,Female,46,7,133218.71389242972,3,1,1,180967.48,0
30260,87,15922581,408,Female,38,6,86254.03670312256,2,0,0,189646.58,1
83805,88,15922582,766,Female,32,9,61509.97094208979,4,1,0,97463.02,0
92225,89,15922583,813,Female,25,6,110628.6343873053,4,0,0,72574.73,0
48571,90,15922584,537,Male,48,8,84907.97606241141,3,1,0,12389.89,1
96126,91,15922585,434,Male,33,9,118978.09022021963,4,0,1,88264.25,1
78282,92,15922586,759,Male,20,9,201084.08050246362,1,0,1,44214.56,1
39303,93,15922587,381,Female,56,10,68045.08235610991,2,0,1,145310.51,0
89062,94,15922588,376,Male,51,5,0.0,1,1,0,122708.38,0
44612,95,15922589,454,Female,64,0,85026.24559819876,3,0,1,187322.68,1
19208,96,15922590,501,Female,35,7,85566.42386390053,4,0,0,138148.42,0
63407,97,15922591,487,Male,36,4,109804.72777021302,4,1,0,50886.8,0
86478,98,15922592,453,Female,58,3,166266.83772906943,2,0,1,75465.23,0
69074,99,15922593,424,Female,39,0,43777.750812661834,4,1,1,100632.35,0
45453,100,15922594,645,Female,29,0,43443.52772384975,4,1,0,107778.61,0
91195,101,15922595,595,Female,68,4,176434.24961036607,1,1,1,188218.09,1
53171,102,15922596,662,Male,30,1,39934.9410930203,2,0,0,126922.75,0
44712,103,15922597,816,Female,78,8,203955.26918016592,1,0,1,65862.77,1
23169,104,15922598,816,Male,69,0,117025.39680457182,2,0,0,55751.6,1
29132,105,15922599,369,Female,23,7,99590.52918496134,4,1,1,115587.8,1
72857,106,15922600,735,Female,66,5,178606.8711084098,1,0,1,17987.43,1
81923,107,15922601,528,Male,22,6,99959.4893181988,2,0,1,92218.84,0
36277,108,15922602,751,Male,46,5,186148.1620147781,4,0,1,179326.87,0
66583,109,15922603,668,Male,65,0,66700.19530935063,4,0,0,183659.97,0
88401,110,15922604,330,Male,40,0,82710.75991000643,4,1,0,112530.78,1
23352,111,15922605,787,Female,49,8,132922.83914683855,3,0,1,109434.47,0
34783,112,15922606,810,Female,22,10,101569.95326049582,1,0,0,66993.62,0
57171,113,15922607,850,Male,44,6,213394.39401988083,4,1,1,118144.17,0
60562,114,15922608,333,Male,50,1,93360.15497909179,1,1,1,91957.0,1
45841,115,15922609,379,Male,57,3,69553.59717846614,1,1,0,130136.65,1
45968,116,15922610,647,Male,55,6,68681.76428597313,4,0,0,190671.07,0
21605,117,15922611,596,Male,65,8,91215.80759972341,4,0,0,151202.86,1
65161,118,15922612,351,Male,51,0,148640.96974109835,4,0,0,28360.75,0
93840,119,15922613,785,Female,22,0,52148.11246708973,4,0,1,35289.29,0
27697,120,15922614,429,Male,71,8,170599.92633547,3,1,1,138359.78,1
81761,121,15922615,329,Female,78,2,123684.37913875545,1,0,0,194918.7,1
26225,122,15922616,774,Female,64,5,117076.67923740952,2,1,1,120115.07,1
13960,123,15922617,624,Male,78,8,36090.84719954336,3,0,1,167755.16,1
77216,124,15922618,314,Male,68,10,121226.3919621955,3,0,0,56432.86,1
26323,125,15922619,395,Male,44,0,145339.34339299126,1,1,0,49367.0,1
77699,126,15922620,784,Male,64,9,15459.458076063522,4,0,1,196551.15,0
39776,127,15922621,723,Male,47,1,210669.33170485296,4,1,1,175587.63,1
61027,128,15922622,777,Female,78,0,240751.30298295664,4,1,1,90458.11,1
94636,129,15922623,816,Female,35,5,102894.10106403672,2,0,1,163385.2,0
92896,130,15922624,465,Female,47,0,134556.1685117546,2,1,0,128885.22,0
52880,131,15922625,596,Male,55,7,238339.52981575648,3,1,1,156342.74,0
28519,132,15922626,504,Female,64,3,174522.09671196464,3,0,0,118117.81,1
32568,133,15922627,304,Female,30,6,39680.7408384001,4,1,1,136946.66,0
86580,134,15922628,429,Female,36,8,71400.77329869277,4,1,0,188592.12,0
62991,135,15922629,335,Male,51,0,99525.72234866976,1,0,1,86628.36,0
25208,136,15922630,364,Female,72,9,99852.65301086198,4,1,0,147570.68,1
89741,137,15922631,529,Female,74,3,0.0,4,1,1,192105.95,0
96791,138,15922632,804,Female,47,1,181962.31947714128,1,1,0,9128.23,1
97203,139,15922633,766,Male,49,7,89975.41627383721,1,1,1,51240.74,0
66131,140,15922634,654,Female,29,5,95200.66443701938,4,0,1,72233.44,0
97803,141,15922635,430,Female,70,3,100648.47543793214,1,1,0,115209.16,1
64618,142,15922636,370,Female,34,1,103359.43357264885,4,1,1,91587.35,1
55074,143,15922637,668,Female,29,2,74984.41762778394,2,0,1,188563.4,0
97349,144,15922638,704,Male,60,5,79501.74798784766,1,0,1,38969.93,0
64440,145,15922639,523,Female,73,0,136750.81392319943,2,0,0,61869.21,0
80832,146,15922640,375,Male,56,7,183863.8269813717,4,0,0,16279.98,0
40527,147,15922641,446,Male,25,2,60486.81539807732,3,1,0,36327.17,0
81091,148,15922642,844,Male,69,2,222416.56983653136,4,1,1,119437.79,0
97617,149,15922643,687,Female,31,10,99536.05860029755,1,1,0,11316.89,1
14868,150,15922644,612,Female,62,3,79232.60779482168,2,0,0,188332.94,1
58255,151,15922645,469,Female,63,0,190358.52121934036,3,0,0,152126.04,1
43235,152,15922646,773,Male,67,7,77970.66185346757,2,1,1,18005.4,0
14685,153,15922647,504,Male,37,6,108505.73516812989,4,1,1,158115.53,0
17640,154,15922648,547,Female,40,10,54065.305195619556,1,0,1,25398.88,0
34152,155,15922649,721,Female,25,10,107809.6204082564,4,0,1,103875.53,0
27417,156,15922650,528,Male,67,0,41355.99151501641,2,1,0,43663.66,0
74503,157,15922651,572,Female,23,7,41846.665634849865,2,0,1,35322.88,0
29247,158,15922652,316,Male,21,1,110341.88282518795,3,0,1,107040.95,0
66412,159,15922653,731,Female,67,3,144415.71222636334,2,0,1,176967.18,0
87276,160,15922654,456,Female,29,4,73378.54859278793,1,1,0,17718.36,0
54573,161,15922655,584,Male,19,7,56166.90328676088,3,0,0,42406.94,0
21407,162,15922656,601,Male,38,4,88073.3042542017,2,0,1,97601.19,0
15996,163,15922657,388,Female,21,1,21698.30600647915,3,0,1,191137.04,0
36707,164,15922658,432,Male,77,2,47523.496806375835,4,1,1,73196.15,1
47116,165,15922659,544,Male,77,5,99479.32027219444,4,0,1,174094.93,0
54355,166,15922660,355,Female,80,4,62948.82431635757,3,0,1,108783.88,0
37519,167,15922661,780,Male,67,2,85760.81129183306,3,1,0,90968.29,0
86450,168,15922662,490,Female,58,7,104138.8240653838,3,0,0,152814.55,1
61132,169,15922663,611,Male,41,9,100573.8480748917,2,0,1,39895.0,0
96869,170,15922664,381,Male,58,4,95984.63816557589,2,1,0,105832.32,1
94160,171,15922665,831,Female,30,9,161272.12723902793,2,0,1,7782.88,0
73732,172,15922666,560,Male,22,8,108398.72880988859,2,1,0,105269.06,0
12464,173,15922667,300,Female,72,8,174405.66400056015,3,0,0,199241.95,1
29231,174,15922668,491,Female,77,1,106479.25192628094,1,1,1,15149.71,1
77365,175,15922669,487,Female,67,4,80747.04845755207,3,0,0,20716.81,0
59047,176,15922670,430,Female,28,9,19659.629611752418,2,1,0,115021.0,0
94971,177,15922671,723,Male,60,8,109022.93128667798,1,0,1,186464.39,0
73535,178,15922672,841,Female,76,3,0.0,3,0,0,111721.74,0
83769,179,15922673,678,Female,51,10,93473.0730726391,2,1,0,192418.63,0
14669,180,15922674,403,Male,18,3,99512.60167561307,1,1,0,64425.13,1
36602,181,15922675,609,Female,51,4,195562.63319113574,1,0,1,198318.54,0
71188,182,15922676,554,Female,80,7,160142.77350094155,3,1,0,43193.02,0
66988,183,15922677,665,Female,79,5,75134.37080939986,2,1,1,154825.03,1
43144,184,15922678,760,Female,67,5,164512.82250495596,2,0,0,67760.83,0
24266,185,15922679,782,Male,50,1,79915.17434620738,2,0,1,167185.23,1
63072,186,15922680,743,Male,28,1,124210.84676387632,2,1,1,8085.42,0
17832,187,15922681,676,Male,23,1,83100.10793985387,1,1,0,63143.37,0
70257,188,15922682,550,Male,46,9,154342.80618068148,3,1,1,184855.05,1
82103,189,15922683,601,Female,22,7,164624.2406003895,3,0,1,154818.56,0
70220,190,15922684,397,Male,79,4,157816.31237994804,2,1,1,97513.9,1
15732,191,15922685,609,Male,55,0,233952.29705045008,3,0,1,76215.05,0
57073,192,15922686,582,Female,80,9,117581.88490098623,1,1,1,188907.72,0
37410,193,15922687,667,Female,64,6,110238.63043503236,2,1,1,39849.42,1
59925,194,15922688,556,Female,46,0,180020.03701734013,2,1,1,39023.96,1
71369,195,15922689,478,Female,57,1,201115.25398442816,4,0,1,13210.62,1
27833,196,15922690,581,Male,34,3,52019.47459595023,1,1,1,134228.94,1
13248,197,15922691,668,Female,64,7,137057.70972934022,1,1,0,182946.42,0
54566,198,15922692,407,Male,42,7,30535.405445316297,4,0,0,26808.97,0
65796,199,15922693,638,Female,36,8,64798.3484057631,1,1,1,152907.81,0
21286,200,15922694,493,Male,54,0,155969.94033912208,2,1,1,153553.09,1
